gsr_max,gsr_min,gsr_mean,gsr_sd,hrate_mean,temp_avg,fear,angry,happy,sad,class
5.05,3.1,4.37992,0.495766751,88.7907,37.8,2,4,5,2,2
5.84,4.27,4.859120879,0.318279728,86.7312,36.6,5,1,1,4,0
5.74,4.57,4.905686275,0.235748271,98.7598,37.9,1,1,3,1,2
6.42,5.15,5.488265306,0.290848539,103.7711,36.7,5,1,1,2,0
1.93,1.53,1.684166667,0.08782702,100.785,39.1,1,1,1,5,3
2.41,1.63,2.02627907,0.201618722,88.7618,37,1,5,1,1,1
2.22,1.73,1.905841584,0.126785388,98.7636,39.1,1,2,1,5,3
2.41,1.83,2.034225352,0.107309613,95.8697,37.8,1,1,5,2,2
2.81,1.93,2.48062069,0.164634362,107.0402,37.6,1,1,5,1,2
1.05,0,0.087073171,0.290269009,115.0437,39,1,3,1,4,3
1.14,0,1.021627907,0.18444931,118.2824,36.8,1,5,1,4,1
1.14,1.05,1.096046512,0.045163221,120.3315,36.7,5,1,1,4,0
1.14,0,1.123217822,0.084794408,125.39,37.9,1,1,4,1,2
1.44,1.05,1.174604651,0.057800066,112.23,36.7,5,1,1,3,0
2.81,2.61,2.662173913,0.061325929,90.1028,39,1,1,1,5,3
3.78,2.9,3.328484848,0.2578923,100.0653,37,1,5,1,1,1
4.17,3.29,3.578571429,0.223794852,96.184,38.9,1,1,1,5,3
5.25,3.39,3.858527132,0.432472938,155.4292,37.6,1,1,5,1,2
5.25,3.49,4.282666667,0.507246372,110.4994,37.8,1,1,5,1,2
1.24,1.14,1.163239437,0.04238542,115.4879,39.2,1,1,1,4,3
1.24,1.14,1.212988506,0.044530043,101.0569,36.7,5,1,1,4,0
1.34,1.14,1.250775862,0.036220844,127.3786,38.8,1,1,2,5,3
2.81,0,1.536360656,0.689988225,105.0064,37.5,1,1,5,1,2
0,0,0,,125.4558,39.4,4,3,1,5,3
